key_resp_monotonicity.corr,obj1,obj2,obj3,obj4,obj5,obj6
1,red,red,red,red,red,red
0,blue,red,red,red,red,red
1,blue,blue,blue,blue,red,red
1,blue,blue,red,red,red,red
1,blue,blue,blue,red,red,red
0,blue,blue,blue,blue,blue,red
1,blue,blue,red,red,red,red
1,blue,red,red,red,red,red
1,blue,blue,gray,blue,blue,red
0,blue,blue,blue,red,red,red
1,red,red,red,red,red,red
1,blue,blue,blue,blue,red,red
,,,,,,
,,,,,,
0,yellow,yellow,blue,blue,blue,blue
1,yellow,yellow,yellow,blue,blue,blue
1,yellow,yellow,yellow,yellow,yellow,blue
1,yellow,gray,yellow,yellow,blue,blue
1,yellow,blue,blue,blue,blue,blue
1,blue,blue,blue,blue,blue,blue
1,yellow,yellow,yellow,yellow,yellow,blue
1,yellow,yellow,blue,blue,blue,blue
1,yellow,blue,blue,blue,blue,blue
0,yellow,yellow,yellow,gray,blue,blue
1,yellow,yellow,yellow,blue,blue,blue
1,blue,blue,blue,blue,blue,blue
,,,,,,
,,,,,,
1,blue,blue,blue,blue,blue,blue
0,red,red,red,red,blue,blue
1,red,red,red,red,red,blue
1,red,red,red,blue,blue,blue
1,red,blue,blue,blue,blue,blue
0,red,red,blue,blue,blue,blue
1,red,red,red,red,red,blue
1,red,red,red,blue,blue,blue
1,blue,blue,blue,gray,blue,blue
1,red,red,blue,blue,blue,blue
1,red,red,red,red,blue,blue
1,red,blue,blue,blue,blue,blue
,,,,,,
,,,,,,
1,green,green,red,red,red,red
1,green,green,green,green,red,red
1,red,red,red,red,red,red
1,green,green,green,red,red,red
1,green,green,green,green,green,red
1,green,red,red,red,red,red
1,green,green,green,green,green,red
1,green,green,green,green,red,red
1,green,green,green,red,red,red
1,red,red,red,red,red,red
1,green,red,red,red,red,red
1,green,green,red,red,red,red
,,,,,,
,,,,,,
1,red,red,red,red,green,green
1,red,green,green,green,green,green
0,green,green,green,green,green,green
1,red,red,red,green,green,green
1,red,red,green,green,green,green
1,red,red,red,red,red,green
1,red,red,red,red,red,green
1,green,green,green,green,green,green
1,red,green,green,green,green,green
1,red,red,red,green,green,green
1,red,red,green,green,green,green
1,red,red,red,red,green,green
,,,,,,
,,,,,,
1,green,green,green,green,green,yellow
1,green,green,green,yellow,yellow,yellow
1,green,yellow,yellow,yellow,yellow,yellow
1,green,green,yellow,yellow,yellow,yellow
1,yellow,yellow,yellow,yellow,yellow,yellow
1,green,green,green,green,yellow,yellow
1,green,green,green,green,green,yellow
1,green,green,green,yellow,yellow,yellow
0,green,green,green,green,yellow,yellow
1,green,green,yellow,yellow,yellow,yellow
1,yellow,yellow,yellow,yellow,yellow,yellow
1,green,yellow,yellow,yellow,yellow,yellow
,,,,,,
,,,,,,
1,yellow,yellow,yellow,yellow,yellow,green
1,yellow,yellow,yellow,yellow,green,green
1,yellow,green,green,green,green,green
1,yellow,yellow,green,green,green,green
1,yellow,yellow,yellow,green,green,green
1,green,green,green,green,green,green
1,yellow,green,green,green,green,green
1,yellow,yellow,green,green,green,green
1,green,green,green,green,green,green
1,yellow,yellow,yellow,yellow,green,green
1,yellow,yellow,yellow,green,green,green
1,yellow,yellow,yellow,yellow,yellow,green
,,,,,,
,,,,,,
1,blue,blue,blue,blue,blue,yellow
1,blue,blue,blue,yellow,yellow,yellow
0,blue,blue,blue,blue,yellow,yellow
1,blue,yellow,yellow,yellow,yellow,yellow
1,yellow,yellow,yellow,yellow,yellow,yellow
1,blue,blue,yellow,yellow,yellow,yellow
1,blue,blue,yellow,yellow,yellow,yellow
1,blue,blue,blue,yellow,yellow,yellow
1,blue,blue,blue,blue,yellow,yellow
1,blue,blue,blue,blue,blue,yellow
1,yellow,yellow,yellow,yellow,yellow,yellow
1,blue,yellow,yellow,yellow,yellow,yellow
